차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
21705	정박	碇泊	명	5 	1 	0 	0 	0 	5 	0 	0 	0 	0 	0 
53245	정박세	碇泊稅	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
19387	정박하다	碇泊-	동	6 	3 	0 	0 	0 	5 	1 	0 	0 	0 	0 
6677	정반대	正反對	명	26 	19 	2 	0 	12 	3 	4 	4 	0 	0 	1 
53246	정반대되다	正反對-	동	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53247	정방형	正方形	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
19388	정벌02	征伐	명	6 	1 	0 	0 	6 	0 	0 	0 	0 	0 	0 
19389	정벌하다	征伐-	동	6 	3 	0 	0 	5 	0 	0 	1 	0 	0 	0 
53248	정범01	正犯	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
24675	정법01	正法	명	4 	3 	0 	0 	3 	0 	0 	0 	1 	0 	0 
10778	정변03	政變	명	14 	2 	0 	0 	9 	0 	0 	5 	0 	0 	0 
24676	정보05	町步	의	4 	2 	0 	0 	0 	1 	3 	0 	0 	0 	0 
435	정보06	情報	명	460 	65 	9 	2 	70 	15 	273 	83 	0 	3 	5 
53249	정보과장	情報課長	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
36132	정보국장	情報局長	명	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
8204	정보기관	情報機關	명	20 	5 	0 	0 	0 	1 	6 	13 	0 	0 	0 
28993	정보량	情報量	명	3 	1 	0 	0 	0 	0 	0 	0 	3 	0 	0 
17552	정보망	情報網	명	7 	4 	0 	0 	1 	0 	3 	3 	0 	0 	0 
53250	정보부	情報部	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53251	정보부장	情報部長	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53252	정보사	情報司	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
